Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
3,4554.0,0.33333333,0.00025877,0.00260904,0.00010498,4.02957435,12
1,152.0,0.00000000,0.00000000,0.00047952,0.00004537,4.32365948,12
2,5.0,0.00000000,0.00000076,0.00000000,0.00010229,7.32476506,14
5,3159.5,0.70000000,0.00004664,0.00576864,0.00010533,3.67716971,11
1,150.0,0.00000000,0.00000000,0.00088124,0.00004512,4.20011056,12
5,1073.0,0.60000000,0.00000045,0.00000161,0.00013893,6.26451078,14
3,1925.0,0.00000000,0.00055279,0.00138474,0.00011587,4.04505252,12
8,3831.0,0.46428571,0.00007512,0.00552188,0.00014510,3.67081260,12
7,2410.0,0.38095238,0.00179681,0.00305011,0.00022014,3.91100055,12
7,2192.0,0.38095238,0.00055271,0.00036962,0.00033285,4.42979547,12
109,349009.0,0.15562351,0.02318567,0.06369471,0.00448688,2.99972360,10
14,21997.0,0.58241758,0.00004108,0.01078605,0.00025389,3.60724157,11
1,960.0,0.00000000,0.00000000,0.00190778,0.00004987,4.06274185,12
2,191.0,1.00000000,0.00000000,0.00000527,0.00010076,5.20370370,13
23,42760.5,0.23715415,0.00569727,0.00661574,0.00091704,3.55776672,10
102,426537.5,0.16268686,0.03478617,0.06598599,0.00613842,2.95771144,10
19,11414.5,0.26900585,0.00451891,0.00705606,0.00053108,3.64648977,11
3,90.0,1.00000000,0.00000000,0.00019381,0.00006384,4.33582090,10
1,595.0,0.00000000,0.00000000,0.00021618,0.00005102,4.42786070,11
2,437.0,1.00000000,0.00000000,0.00187602,0.00007449,4.00856827,12
2,456.0,0.00000000,0.00055294,0.00138343,0.00012327,4.04560531,12
1,228.0,0.00000000,0.00000000,0.00001716,0.00005987,5.38529574,13
10,14409.5,0.37777778,0.00010008,0.00125421,0.00030385,4.20840243,12
3,2554.5,1.00000000,0.00000000,0.00407888,0.00007116,3.89690437,11
2,437.0,1.00000000,0.00000000,0.00187602,0.00007449,4.00856827,12
1,38.0,0.00000000,0.00000000,0.00000369,0.00004266,5.53952460,12
2,3748.0,1.00000000,0.00000000,0.00116452,0.00010954,3.97927032,12
3,985.0,1.00000000,0.00000000,0.00467813,0.00006226,3.67855169,11
4,1062.0,0.66666667,0.00000006,0.00197388,0.00005196,4.18601437,12
17,20332.5,0.50735294,0.00039816,0.02508100,0.00025999,3.48148148,11
28,53951.0,0.57936508,0.00008035,0.04322883,0.00055149,3.46738530,11
15,39692.5,0.46666667,0.00012308,0.00560241,0.00067725,3.77252626,10
2,396.0,1.00000000,0.00000000,0.00019030,0.00006210,4.33637369,10
